Auracle,MioXL -  MAC STUDIO,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send Clock,Editor,Notes
,Usb Host (r),1,↔,2,,,,,,,↔,Guest 1,,Guest 2,,Guest 3,,Guest 4,,Guest 5,,Guest 6,,Guest 7,,Guest 8,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),2,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),3,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),4,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),5,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (r),6,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (f),7,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (f),8,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (f),9,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Host (f),10,↔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Usb Daw (f),0,↔,,,,,,↔,Mac Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rtp,0,↔,,,,,,↔,CR TP-LINK RTP router,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIX W DESK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midi Solutions Quadra Thru,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send clock,Editor,Notes
,DIN In,1,←,,,,,,,MioXL - Mix W Desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIN Thru ,1,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S1,VC-340,,,,,,,,,N,,,
,DIN Thru ,2,→,,,,,,,SBX-1,,,,,,,,,,,,,,,,,,,,,,,,,,,S2,SBX-1,,,,,,,Y,,,
,DIN Thru ,3,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,S3,Guest 1 - Desk Drawer,,,,,,,,,,,,,Y,,,
,DIN Thru ,4,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S4,Guest 2 - Desk Drawer,,,,,,,,,,,Y,,,
,"Desktop Keystones ""k.s.""",Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Source / Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send clock,Editor,Notes
,USB A In/Out 1,mio A1,↔,,,Usb,,,,MioXL - Mix W Desk,,"Guest k.s. 1/8"" 1 ",,,,,,,,,,,,,,,T1,Guest k.s. usb A1 ,T2,Guest k.s. usb A1 ,T3,Guest k.s. usb A1 ,T4,Guest k.s. usb A1 ,T5,Guest k.s. usb A1 ,T6,Guest k.s. usb A1 ,T7,Guest k.s. usb A1 ,T8,Guest k.s. usb A1 ,,,,,,
,"1/8"" ks out",mio 3,→,2,,"trs 1/8"" < din",,,,MioXL - Mix W Desk,T1,,T2,"Guest k.s. 1/8"" 1 ",T3,"Guest k.s. 1/8"" 1 ",T4,"Guest k.s. 1/8"" 1 ",T5,"Guest k.s. 1/8"" 1 ",T6,"Guest k.s. 1/8"" 1 ",T7,"Guest k.s. 1/8"" 1 ",T8,"Guest k.s. 1/8"" 1 ",,,,,,,,,,,,,,,,,,,,,,
,"1/8"" ks in",mio 3,←,,,"trs 1/8"" < din",,,,MioXL - Mix W Desk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MioXL - MIX W DESK,Port #,,RTP group,T/S,path 1,T/S,path 2,T/S,Destination,T/S,Midi Ch. 1,T/S,Midi Ch. 2,T/S,Midi Ch. 3,T/S,Midi Ch. 4,T/S,Midi Ch. 5,T/S,Midi Ch. 6,T/S,Midi Ch. 7,T/S,Midi Ch. 8,T/S,Midi Ch. 9,T/S,Midi Ch. 10,T/S,Midi Ch. 11,T/S,Midi Ch. 12,T/S,Midi Ch. 13,T/S,Midi Ch. 14,T/S,Midi Ch. 15,T/S,Midi Ch. 16,,,Receive clock ,Send clock,Editor,Notes
,Din Out (r),1,→,1,,,,,,,,Roland VP-9000,,Roland VP-9000,,Roland VP-9000,,Roland VP-9000,,Roland VP-9000,,Roland VP-9000,,,,,,,,,,,,,,,,,,,,,,,Y,,,
,Din Out (r),2,→,1,,,,,T1,Midi Solutions Quadra,,,,,,,,,,,,,,,,,,,,,S3,X,S4,X,S1,X,S2,X,,,,,,,,,,
,Din Out (r),3,→,2 MIX W GUEST 1,,,,,,"Desktop Keystone 1/8"" out",,X,,X,,X,,X,,X,,X,,X,,X,,,,,,,,,,,,,,,,,,,X,,,
,Din Out (r),4,→,1,,,,,,,,,,,,,,,,,,,,Oberheim M-1000 b2,,,,,,,,,,,,,,,,,,,,,N,,,
,Din Out (r),5,→,,,,,,,,,,,,,,,,,,,,,,T1,Electric Warp Factory,T2,Digitech Vocalist,T3,Korg DVP-1,,,,,,,,,,,,,,,N,,,
,Din Out (r),6,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,→,Prophet 10 Rev4 ,,,,,N,,,
,Din Out (f),7,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),8,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),9,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),10,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),11,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din Out (f),12,→,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Din In (r),1,←,,,,,,,,,Roland VP-9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
,Din In (r),2,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,←,VC340,,,,,,,,,,,,
,Din In (r),3,←,,,,,,,"Desktop Keystones 1/8"" in",,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,X,,,,,,
,Din In (r),4,←,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
