RTP LANE NUMBER,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,12,,13,,14,,15,,16,,17,,18,,19,,20,,21,,22,,,
,1,→,,Jupiter 8,,Squid 1,,,,,,,,,,,,Squid CV-1,,P5 Rev3,,,,,,,,,,,,,,Jupiter 8 (Sysex),,,,,,,,,,,,,,,key island
,2,,,OBX8,,Squid 2,,,,,,,,,,,,Squid CV-2,,,,,,,,,,,,,,,,,,OBX8,,,,,,,,,,,,,
,3,,,P5 rev2,,P5 Rev3,,,,,,,,,,,,Xox,,,,,,,,,,,,,,,,,,,,P5 rev2,,,,,,,,,,,
,4,,,Jupiter 6,,Xpander Zone1,,,,,,,,,,,,TD3,,,,,,,,,,,,,,,,,,,,,,Jupiter 6,,,,,,,,,
,5,,,Korg 770,,Xpander Zone2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,Pro One,,Xpander Zone3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,SH-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,Mono/Poly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,Odyssey MK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,SH101,,LUMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,,MS-20,,SQ64 / DDRUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,,,,LM-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,,Jupiter 4 ,,DRM-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jupiter 4 ,,,,,,,
,14,,,PS-3300,,Oberheim DX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15,,,Memorymoog,,TR-909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memorymoog,,,,,
,16,,,PS3100,,DrumTrax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAKKEN,,,
,GLOBAL ,,,,,,,,,,,,,,,,,,,,,X,,X,,,,X,,,,,,,,,,,,,,,,,,,,,
Clock sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLC MLB-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SQUID KB.SEQ.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM INTERCLOCK 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM INTERCLOCK 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM INTERCLOCK 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM INTERCLOCK 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,macstudio
SYNC-GEN 3 RX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clock Destinations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SYNC-GEN 3 RX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERM INPUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOBIUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
